ID,Exhibition,Space,Era,Country,Medium,Type of Exhibition,Principal Artist,Start Day,End Day,Duration,Report Year,Visitors,Charge?,Co-Organisers,Sponsors,Link,Description,A review with more info,days_to_start,days_to_end,exhib_duration
50,The Unilever Series: Tacita Dean ,,Contemporary,UK,Film,Miniature / One Off,Tacita Dean,2011-10-11,2012-03-11,152.0,2011-12-01 00:00:00,,Free,,Unilever,http://www.tate.org.uk/whats-on/tate-modern/exhibitionseries/unilever-series/unilever-series-tacita-dean-film,"FILM is an 11-minute silent 35 mm film projected onto a gigantic white monolith standing 13 metres tall at the end of a darkened Turbine Hall. It is the first work in The Unilever Series devoted to the moving image, and celebrates the masterful techniques of analogue filmmaking as opposed to digital. The work evokes the monumental mysterious black monolith from the classic science fiction film 2001: A Space Odyssey. The film feels like a surreal visual poem, including images from the natural world among others, with the epic wall of the Turbine Hall showing through, in a montage of black and white, colour, and hand-tinted film.. Tacita Dean is a British artist now based in Berlin, best known for her use of film. Dean’s films act as portraits or depictions rather than conventional cinematic storytelling, capturing fleeting natural light or subtle shifts in movement. Her static camera positions and long takes allow events to unfold unhurriedly. Other works have attempted to reconstruct events from memory, such as an infamous thwarted attempt to circumnavigate the world. Dean’s interest in the cinematic also extends to her work in other media. The Russian Ending 2001 borrows its title from the early Danish cinema tradition of making two alternate endings for a film: one happy for the American market and one tragic for the Russian market. In this work, Dean annotated postcards of catastrophes with director's notes. Many of Dean’s works show the ways in which architecture can be transformed by the camera's lens. Craneway Event 2009 follows the choreographer Merce Cunningham (1919–2009) and his dance company rehearsing in a former Ford assembly plant, built of glass and steel and overlooking the San Francisco Bay. Dean’s film allows the ever-changing light of this environment to fall in rhythm with the dancers’ movements.",,1517,1669,153
51,Level 2 Gallery: I decided not to save the world ,Level 2,Contemporary,Mixed,Mixed,Theme,-,2011-11-04,2012-01-08,65.0,2011-12-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibitionseries/project-space/project-space-i-decided-not-save-world,"Curious acts and seemingly small gestures unite the works in this exhibition. Artists Mounira Al Solh, Yto Barrada, Mircea Cantor and the collective Slavs and Tatars devise playful interventions into their everyday environment, combining social comment and investigation with humour or irony to throw off our habits of thinking. Emerging from the specific contexts in which they are working, the light-hearted approach of these works belies the artists’ acute socio-political insights.  The title of the exhibition is taken from Mircea Cantor’s 2011 video of the same name in which a single take of a child saying ‘I decided not to save the world’ is shown on a continuous loop. The work is emblematic of the complexity that underlies the simplest of statements and is typical of the way Cantor responds to contemporary concerns using simple and direct gestures. Yto Barrada is known for the playful nature of her work, rooted in the specific context of Tangier, Morocco, where she lives and works. Her sculpture, manifesto, and film included in this exhibition use humour and satire to address the country’s rapid modernisation.  Rawane’s Song 2006, an autobiographical video by Mounira Al Solh, is a witty take on her struggle to make work about the Lebanese wars in the wake of the previous generation of Beirut artists. Ironically it ends up addressing exactly the issues she claims to be avoiding. Slavs and Tatars’ practice examines a region they describe as ‘east of the former Berlin Wall and west of the Great Wall of China.’ Their text-based works are taken from a variety of sources and play with double-meanings, mistranslation, language barriers and notions of the dichotomy between east and west.",,1541,1606,66
52,Project Space: No Lone Zone ,Level 2,Contemporary,Mixed (latin america),Mixed,Theme,-,2012-01-27,2012-05-13,107.0,2011-12-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibitionseries/project-space/project-space-no-lone-zone,"No Lone Zone' is a military term designating an area where, for reasons of safety and security, the presence of just one person is not allowed. The phrase can also be used metaphorically to describe a highly sensitive or unstable place, such as the vulnerable environments that proliferate in the context of postcolonial globalisation. This exhibition presents a range of works by Teresa Margolles, Cinthia Marcelle, David Zink Yi and Tercerunquinto all formally and thematically concerned with the intersection of history, nature and politics. The participating artists are from Latin America, but each engages with how a particular site and its local history are mediated by the networks of global communication. Sculpture, video, photography and installation reflect an artistic practice that examines the interval between the observation of an experience and its narrative, and where the artwork does not simply act as a representation of an event, but rather as its vestige or trace.",,1625,1732,108
53,Yayoi Kusama ,,"Post-War, Contemporary",Japan,Mixed,Artist,Yayoi Kusama ,2012-02-09,2012-06-05,117.0,2011-12-01 00:00:00,,Paid,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/yayoi-kusama,"The nine decades of Yayoi Kusama's life have taken her from rural Japan to the New York art scene to contemporary Tokyo, in a career in which she has continuously innovated and re-invented her style. Well-known for her repeating dot patterns, her art encompasses an astonishing variety of media, including painting, drawing, sculpture, film, performance and immersive installation. It ranges from works on paper featuring intense semi-abstract imagery, to soft sculpture known as 'Accumulations', to her 'Infinity Net' paintings, made up of carefully repeated arcs of paint built up into large patterns. Since 1977 Kusama has lived voluntarily in a psychiatric institution, and much of her work has been marked with obsessiveness and a desire to escape from psychological trauma. In an attempt to share her experiences, she creates installations that immerse the viewer in her obsessive vision of endless dots and nets or infinitely mirrored space.. At the centre of the art world in the 1960s, she came into contact with artists including Donald Judd, Andy Warhol, Joseph Cornell and Claes Oldenburg, influencing many along the way. She has traded on her identity as an 'outsider' in many contexts – as a female artist in a male-dominated society, as a Japanese person in the Western art world, and as a victim of her own neurotic and obsessional symptoms. After achieving fame and notoriety with groundbreaking art happenings and events, she returned to her country of birth and is now Japan's most prominent contemporary artist.. This is a varied, spectacular exhibition of a truly unique artist. There has never been an exhibition of this size of her work in the UK and this is an unmissable opportunity for both Kusama fans and those new to her work.",,1638,1755,118
54,Alighiero Boetti: Game Plan,,Post-war,Italy,Mixed,Artist,Alighiero Boetti,2012-02-28,2012-05-27,89.0,2011-12-01 00:00:00,,Paid,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/alighiero-boetti-game-plan,"Alighiero e Boetti (1940–1994) was one of the most important and influential Italian artists of the twentieth century. He was a key member of the Arte Povera group of young Italian artists in the late 1960s which was working in radically new ways using simple materials. This is the first solo show by an Arte Povera artist at Tate Modern. Boetti used industrial materials associated with Turin’s booming economy and later made works using postage stamps, biro pens, and magazine covers. His work engaged with the changing geopolitical situation of his time, much of it made on his travels to places such as Ethiopia and Guatemala and Afghanistan. Between 1971 and 1979 he set up a hotel in Kabul as an art project and created large colourful embroideries, the most famous of these were the Mappa, world maps in which each country features the design of its national flag. Highlights include works never seen in the UK such as the iconic Self-Portrait 1993, a life-size bronze cast of the artist hosing his head with a jet of water.",,1657,1746,90
55,The Unilever Series: Miroslaw Balka ,Turbine Hall,Contemporary,Poland,Installation,Miniature / One Off,Miroslaw Balka,2009-10-13,2010-04-05,174.0,2010-11-01 00:00:00,,Free,,Unilever,http://www.tate.org.uk/whats-on/tate-modern/exhibition/unilever-series/unilever-series-miroslaw-balka-how-it,"The latest commission in The Unilever Series How It Is by Polish artist Miroslaw Balka is a giant grey steel structure with a vast dark chamber, which in construction reflects the surrounding architecture – almost as if the interior space of the Turbine Hall has been turned inside out. Hovering somewhere between sculpture and architecture, on 2-metre stilts, it stands 13 metres high and 30 metres long. Visitors can walk underneath it, listening to the echoing sound of footsteps on steel, or enter via a ramp into a pitch black interior, creating a sense of unease. Underlying this chamber is a number of allusions to recent Polish history – the ramp at the entrance to the Ghetto in Warsaw, or the trucks which took Jews away to the camps of Treblinka or Auschwitz, for example. By entering the dark space, visitors place considerable trust in the organisation, something that could also be seen in relation to the recent risks often taken by immigrants travelling. Balka intends to provide an experience for visitors which is both personal and collective, creating a range of sensory and emotional experiences through sound, contrasting light and shade, individual experience and awareness of others, perhaps provoking feelings of apprehension, excitement or intrigue.Welcome to EditPad.org - your online plain text editor. Enter or paste your text here. To download and save it, click on the button below.",,789,963,175
56,Level 2 Gallery: Michael Rakowitz ,Level 2,Contemporary,US / Iraq,Mixed,Miniature / One Off,Michael Rakowitz,2010-01-22,2010-05-12,110.0,2010-11-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/level-2-gallery-michael-rakowitz,"Michael Rakowitz works as a cultural archaeologist, uncovering an unexpected network of connections between historical fact and fantasy. The worst condition is to pass under a sword which is not one's own traces links between western science fiction and military-industrial activities in Iraq during and after Saddam Hussein's regime. Through a series of interwoven narratives this project addresses, among other things, the Iraqi leader's fascination with the iconography of Jules Verne's novels and the Star Wars films, and the World Wrestling Federation's unique take on Gulf War politics. The project centres on the Swords of Qādisiyyah monument in central Baghdad. This triumphal arch, otherwise known as the Hands of Victory, was inaugurated on 8 August 1989. The invitation card for the opening ceremony featured the heroic proclamation, 'The worst condition is for a person to pass under a sword that is not his own or to be forced down a road that is not willed by him.' Rakowitz explores the multiple references and resonances of the Victory Arch, from the history of its design to its use as a backdrop for military posturing. In this and other aspects of the project the artist explores how powerful contemporary mythologies derived from popular culture have informed the collective unconscious. Fictional characters from Darth Vader to Sgt. Slaughter coexist with historical figures in Rakowitz's symbolic universe, in which warrior fantasies transcend the alleged divide between east and west.",,890,1000,111
57,Van Doesburg and the International Avant-Garde: Constructing a New World ,,Modernism,Netherlands,Painting,Artist and Movement,Theo van Doesburg,2010-02-04,2010-05-16,101.0,2010-11-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/van-doesburg-and-international-avant-garde,"Tate Modern presents the first major exhibition in the UK devoted to the Dutch artist and pivotal figure of the European avant-garde, Theo van Doesburg (1883–1931). This is a unique and exciting chance for van Doesburg's work to be seen for the first time in the UK. This follows in the footsteps of a series of exhibitions looking at different aspects of Modernism, conceived by Vicente Todolí, Director of Tate Modern. Van Doesburg, who worked in disciplines within art, design and text, founded the far-reaching movement and magazine De Stijl. This artistic movement of painters, architects and designers sought to build a new society in the aftermath of World War I, advocating an international style of art and design based on a strict geometry of horizontals and verticals. Van Doesburg travelled extensively in Europe in the 1920s making connections and collaborating with avant-garde contemporaries of the time. This exhibition explores Doesburg's role as promoter of Dutch Neoplasticism, his Dada personality, his efforts to influence the Bauhaus, his links with international Constructivists, and his creation of the group Art Concret. Including over 350 works (many unseen in the UK before) by key artists as Jean Arp, Constantin Brancusi, László Moholy-Nagy, Piet Mondrian, Francis Picabia, Gerrit Rietveld, Kurt Schwitters and Sophie Taeuber, the exhibition features van Doesburg's rarely-seen Counter-Composition paintings and designs for the Café Aubette in Strasbourg, furniture such as Rietveld's iconic Red-Blue chair, as well as typography, magazines, stained glass, film, music, sculpture and more.",,903,1004,102
58,Arshile Gorky: A Retrospective ,,Post-war,USA,Painting,Artist  ,Ashile Gorky,2010-02-10,2010-05-03,82.0,2010-11-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/arshile-gorky,"Along with Rothko, Pollock and de Kooning, Gorky was one of the most powerful American painters of the twentieth century, and a seminal figure in the formation of Abstract Expressionism. The exhibition includes paintings and drawings from across his career, and a handful of rarely seen sculptures. The Armenian-born artist first arrived in the US in 1920 fleeing persecution in his home country. He adopted the name Arshile Gorky with reference to the Russian writer Maxim Gorky. First in Boston and, after 1924, then in New York, he studied the Modern European masters in books and galleries, teaching himself art by combining this with art classes. His early still lifes show his reliance upon the examples of Cézanne, Picasso and others, but his portraits in the 1920s and 1930s, especially the two versions of The Artist and His Mother, show how Gorky was able to pour his personal experiences and his studies into a highly individual realism. During the 1940s Gorky encountered Surrealists exiled from wartime Europe. Stimulated by their ideas of free flowing, automatic painting, he rapidly developed the style for which he became famous. Works such as Waterfall 1943 are evocative, layered, and translucent, with a liquid glowing quality. Gorky's characteristic paintings of this final period include biomorphic forms in strong colours, shifting abstract elements and the energetic line that he developed in his drawings. They capture a sensual enjoyment of landscape as well as the mood and memories that the subjects can evoke. Just as he came to be seen as a leading figure in Abstract Expressionism, his career was cut short by a series of personal tragedies, which ended with him committing suicide in 1948",,909,991,83
59,Martin Karlsson: London – An Imagery ,Outside Tate Modern at Holland Street,Contemporary,Sweden,Installation,Miniature / One Off,Martin Karlsson,2010-03-03,2010-12-31,303.0,2010-11-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/martin-karlsson,"To celebrate the beginning of the works for Tate Modern's new building, Swedish artist Martin Karlsson has created a project on the 100-metre hoarding that encloses the works. London – An Imagery 2008–9 takes as its starting point Gustave Doré's engravings published in 1872. Karlsson updates this portrait of the city and its inhabitants.",,930,1233,304
60,Level 2 Gallery: Haris Epaminonda,Level 2,Contemporary,Cyprus,Installation,Miniature / One Off,Haris Epaminonda,2010-05-29,2010-08-30,93.0,2010-11-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/level-2-gallery-haris-epaminonda-vol-vi,"As part of her ongoing series Volumes, Haris Epaminonda creates precise installations consisting mainly of found objects and images. Adopting and then undoing conventional modes of exhibition-making and museum display, Epaminonda develops all-encompassing environments that are simultaneously familiar and new. Each exhibition is posited as a new 'Volume' in the consecutively numbered series. For VOL. VI, Epaminonda has brought together a series of objects from around the world. Wooden carvings, clay vases, statuettes and pages of books – all taken out of their original context – are juxtaposed with each other to form new associations and readings. The artist purposefully avoids stating the origin of each element. Viewers are invited to draw from their own cultural and social experience and engage with the work without relying on a predetermined explanation of origin and meaning. Though constructed from tangible objects arranged in a specific physical space, the work offers visitors the potential for imaginary journeys through distant times and places. Further extending the notion of journeys, Epaminonda's installation paces the visitor's movement through the gallery: spare minimalism is followed by areas brimming with objects, some partly hidden and imbued with intrigue. Together they form a spatial composition, akin to a three-dimensional collage. The final space houses a new film, part of an ongoing series of short sequences filmed in different locations over the last three years. The music that accompanies the film had been specially created by Part Wild Horses Mane On Both Sides. Epaminonda approaches the filmic space in a similar way to the rest of the exhibition; each excerpt forms another element of her overall 'collection' of images, objects, times, spaces and experiences",,1017,1110,94
61,"Exposed: Voyeurism, Surveillance and the Camera",,Mixed,Mixed,Photography,Theme,-,2010-05-28,2010-10-03,128.0,2010-11-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/exposed,"Exposed offers a fascinating look at pictures made on the sly, without the explicit permission of the people depicted. With photographs from the late nineteenth century to present day, the pictures present a shocking, illuminating and witty perspective on iconic and taboo subjects. Beginning with the idea of the 'unseen photographer', Exposed presents 250 works by celebrated artists and photographers including Brassaï's erotic Secret Paris of the 1930s images; Weegee's iconic photograph of Marilyn Monroe; and Nick Ut's reportage image of children escaping napalm attacks in the Vietnam War. Sex and celebrity is an important part of the exhibition, presenting photographs of Liz Taylor and Richard Burton, Paris Hilton on her way to prison and the assassination of JFK. Other renowned photographers represented in the show include Guy Bourdin, Henri Cartier-Bresson, Philip Lorca diCorcia, Walker Evans, Robert Frank, Nan Goldin, Lee Miller, Helmut Newton and Man Ray. The UK is now the most surveyed country in the world. We have an obsession with voyeurism, privacy laws, freedom of media, and surveillance – images captured and relayed on camera phones, YouTube or reality TV. Much of Exposed focuses on surveillance, including works by both amateur and press photographers, and images produced using automatic technology such as CCTV. The issues raised are particularly relevant in the current climate, with topical debates raging around the rights and desires of individuals, terrorism and the increasing availability and use of surveillance. Exposed confronts these issues and their implications head-on.",,1016,1144,129
62,Francis Alÿs: A Story of Deception ,,Contemporary,Belgium,Mixed,Artist,Francis Alys,2010-06-15,2010-09-05,82.0,2010-11-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/francis-alys,"A man pushes a massive block of ice through the streets of Mexico City until it melts to nothing. Five hundred volunteers walk over a huge sand dune in Lima, Peru, digging with spades and shifting the dune a few centimetres as they go. These are the works of the celebrated artist Francis Alÿs (born Belgium, 1959), and the subject of a major exhibition at Tate Modern. Alÿs’s work starts with a simple action, either by him or others, which is then documented in a range of media. Alÿs explores subjects such as modernising programmes in Latin America and border zones in areas of conflict, often asking about the relevance of poetic acts in politicised situations. He has used video projection and film but also spreads his ideas through postcards. Painting and drawing remain central to his work too. Alÿs moved to Mexico City in the mid 1980s at a time of political unrest, and lives there now. He began to make work which recorded everyday life, for example making slide works showing people sleeping on the streets or pushing mobile shopping stalls. Alÿs also makes works around the world. In The Green Line 2004, Alÿs walked along the 1948 armistice line between Israel and Palestine, trailing a line of green paint behind him, and provoking commentaries on the Israeli/Palestinian conflict. This exhibition is his most comprehensive to date. It features many works unseen in Britain, such as When Faith Moves Mountains 2002 as well as premiering the major new work Tornado 2000–10.",,1034,1116,83
63,Level 2 Gallery: Alejandro Cesarco ,Level 2,Contemporary,Uruguay,Film,Miniature / One Off,Alejandro Cesarco,2010-07-10,2010-10-31,113.0,2010-11-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/level-2-gallery-alejandro-cesarco-present-memory,"Uruguayan artist Alejandro Cesarco pays special attention to the construction of narratives and the practices of reading and translating. 'I am interested in cataloguing, classifying, appropriating and reinterpreting texts', he has said. Through different conceptual strategies and a range of media, including prints, books, videos and installations, he explores the various meanings of words and images in relation to context, experience and subjectivity. Present Memory, a newly commissioned video, features an intimate portrait of the artist's father, a doctor recently diagnosed with cancer. Using a 16mm camera, Cesarco filmed him in his medical practice in Montevideo with a series of close-ups and medium shots. He later projected this footage onto the same room and recorded the film screening with a video camera. The resulting video is now being shown at three different sites across the museum. Conceived as a projection of a projection, its repetition creates a visual echo and activates a sense of déjà vu every time the viewer re-encounters it. The work documents both a constructed and anticipated memory of the father, through which the artist also explores the writing of his personal narrative amidst the museum's writing of its own history and memory.",,1059,1172,114
64,Level 2 Gallery: Rosa Barba ,Level 2,Contemporary,Italy,Mixed,Miniature / One Off,Rosa Barba,2010-09-15,2011-01-09,116.0,2010-11-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/level-2-gallery-rosa-barba,"Rosa Barba's work encompasses film, sculpture, installation and publications. In this exhibition, Barba's carefully choreographed installation divides viewers' attention between the projected image and projector itself, posing questions as to which is the narrative and which the narrator. The artist's distinctive use of light and sound permeates the gallery, resulting in a compelling, multi-sensory experience composed of a range of different objects, images, forms and surfaces. In her films, Rosa Barba surveys unusual places or improbable situations, creating works that reflect both her social and cultural research and her interest in film as a medium and as a physical presence. Along with the selection of sculptures and films, Barba has created a new publication for this exhibition, Printed Cinema 11: Idea in Abstract. This is the latest in a series of publications that Barba produces on the occasion of her exhibitions, where they are distributed for free. They constitute a kind of readable and portable film. In this case, images of the vast industrial inscription in the Mojave desert from her film The Long Road 2010 are juxtaposed with small hieroglyphic markings on the walls of a subterranean structure, each given equivalence of scale by the medium of film. These are accompanied by a transcript of her most recent felt drape work, I Made a Circuit, then a Second Circuit 2010.",,1126,1242,117
65,Gauguin: Maker of Myth,,Modernism,France,Painting,Artist,Paul Gauguin,2010-09-30,2011-01-16,108.0,2010-11-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/gauguin,"Gauguin is one of the world's most famous and best-loved artists from the early 20th century. For the first time in the UK in over 50 years, Tate Modern presents an exhibition dedicated to this master French Post-Impressionist, featuring paintings and drawings from around the world. His sumptuous, colourful images of women in Tahiti and beautiful landscape images of Brittany in France are some of the most popular images in Modern art. Gauguin was the ultimate global traveller, sailing the South Seas, and living in Peru, Martinique, and Paris among other places. This exhibition explores the role of the myths around the man – Gauguin as storyteller, painting himself as a Christ-like figure or even a demon in his own paintings, religious and mythical symbols in his work, and the manipulation of his own artistic identity. It features many of his iconic paintings, including those showing daily village life from the artist's colony of Pont-Aven in Brittany, nude bathers and haystacks in the Breton landscape, and decorative works such as the carved wooden door panels around Gauguin's hut in the Marquesas Islands in French Polynesia. Gauguin sought to escape European civilisation in the South Seas. Inspired by Tahiti's tropical flora, fauna and island life, he immersed himself in its fast-disappearing local culture to invest his art with deeper meaning, ritual and myth.",,1141,1249,109
66,The Unilever Series: Ai Weiwei ,Turbine Hall,Contemporary,China,Installation,Miniature / One Off,Ai Weiwei,2010-10-12,2011-05-02,202.0,2010-11-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/unilever-series/unilever-series-ai-weiwei-sunflower-seeds,"Ai Weiwei's Sunflower Seeds is made up of millions of small works, each apparently identical, but actually unique. However realistic they may seem, these life-sized sunflower seed husks are in fact intricately hand-crafted in porcelain. Each seed has been individually sculpted and painted by specialists working in small-scale workshops in the Chinese city of Jingdezhen. Far from being industrially produced, they are the effort of hundreds of skilled hands. Poured into the interior of the Turbine Hall’s vast industrial space, the 100 million seeds form a seemingly infinite landscape. Porcelain is almost synonymous with China and, to make this work, Ai Weiwei has manipulated traditional methods of crafting what has historically been one of China’s most prized exports. Sunflower Seeds invites us to look more closely at the ‘Made in China’ phenomenon and the geo-politics of cultural and economic exchange today.",,1153,1355,203
67,Gabriel Orozco ,,Contemporary,Mexico,Mixed,Artist,Gabriel Orozco ,2011-01-19,2011-04-25,96.0,2010-11-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/gabriel-orozco,"Creative, playful and inventive, Gabriel Orozco creates art in the streets, his apartment or wherever he is inspired. Born in Mexico but working across the globe, Orozco is renowned for his endless experimentation with found objects, which he subtly alters. His sculptures, often made of everyday things that have interested him, reveal new ways of looking at something familiar. A skull with a geometric pattern carefully drawn onto it, a classic Citroën DS car which the artist sliced into thirds, removing the central part to exaggerate its streamlined design, and a scroll filled with numbers cut out of a phone book are just some of his unique sculptures. Orozco’s photos are also on display, capturing the beauty of fleeting moments: water collecting in a punctured football, tins of cat food arranged on top of watermelons in a supermarket, or condensed breath disappearing from the surface of a piano show Orozco’s eye for simple but surprising and powerful images. His art also shows his fascination with game-playing, for example a billiard table with no pockets and a pendulum-like hanging ball, or Knights Running Endlessly, an extended chess board filled with an army of horses, both of which are well-known games to which he has added an element of futility. This kind of unexpected twist makes Orozco’s work interesting to both contemporary art lovers and also anyone who wants an unusual and captivating art experience.",,1252,1348,97
68,Restaurant Commission: James Aldridge ,Restaurant,Contemporary,UK,Painting,Miniature / One Off,James Aldridge,2007-08-16,2011-06-30,1414.0,2009-10-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/james-aldridge-cold-mouth-prayer,"Cold Mouth Prayer is a panoramic new painting, specially commissioned for Tate Modern’s Restaurant. Influenced by Renaissance landscape painting and nineteenth-century French scenic wallpaper, the artist explores his interest in the natural world as well as the ideas and imagery surrounding extreme heavy metal music. In this seductive landscape, crows exhale smoke in a scene rich in decorative flowers, yet loaded with sinister overtones.",,0,1414,1415
69,The Unilever Series: Dominique Gonzalez-Foerster ,Turbine Hall,Contemporary,France,Installation,Miniature / One Off,Dominique Gonzalez-Foerster,2008-10-14,2009-04-13,181.0,2009-10-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/unilever-series/unilever-series-dominique-gonzalez-foerster-th2058,"TH.2058 by Dominique Gonzalez-Foerster, imagines Tate Modern 50 years into the future, set in a London afflicted by perpetual rain. Tate Modern is being used as a shelter for people, a storage space for art works and for the remains of culture. The vast Turbine Hall is filled with monumental replicas of iconic sculptural works. Rows of bunk beds are scattered with books, and on a giant screen The Last Film is continuously running. Made up of short excerpts from science-fiction films, The Last Film suggests a potential state of catastrophe as well as the possibility of collective memory.",,425,606,182
70,UBS Openings: Paintings from the 1980s ,,Contemporary,Mixed,Painting,Theme,,2008-11-08,2009-04-13,156.0,2009-10-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/ubs-openings-paintings-1980s,"Towards the end of the 1970s, the dominance of conceptual art was challenged by a return to painting that was energetic and narrative. The moment was caught in an exhibition called A New Spirit in Painting. Looking back over more than twenty five years, this display recaptures that moment through exemplary works by a generation of artists from Italy, Germany, America and Britain. Taking the opportunity to combine paintings from The UBS Art Collection with significant Tate works, the display continues the sequence associated with the UBS and Tate partnership, opening up art to new audiences.",,450,606,157
71,Rodchenko & Popova: Defining Constructivism ,,Modernism,USSR,Mixed,Movement,,2009-02-12,2009-05-17,94.0,2009-10-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/rodchenko-popova,"This major exhibition explores the work and relationship of two of the Russian avant-garde's most important artists – Aleksandr Rodchenko (1891–1956) and Liubov Popova (1889–1924). The exhibition starts in 1917, the year of the October Revolution, and shows how the two artists shaped the future of Russian art. Rodchenko and Popova were the key figures of the Constructivist movement, rejecting the idea of 'art for art's sake' in favour of an art that participated in the revolution’s transformation of everyday life. With over 350 objects, the exhibition charts the evolution of these artists’ careers, from abstract painting to graphic design, including advertising posters, theatre sets, costume designs and books. Iconic works, such as posters for the classic film Battleship Potemkin directed by Sergei Eisenstein in 1925, are in the exhibition. Highlights also include the two artists’ breathtaking array of utopian abstract paintings produced between 1917 and 1921, featuring their trademark colourful geometric shapes. There are works from the groundbreaking 1921 exhibition 5x5=25, in which the artists collaborated with their colleagues Aleksandra Ekster, Aleksandr Vesnin and Varvara Stepanova to produce works including Rodchenko's famous monochromatic paintings Pure Red Colour, Pure Yellow Colour, and Pure Blue Colour. The exhibition shows how both artists had a huge influence on twentieth-century media and cinema, and includes films on which Rodchenko worked. There is also a reconstruction of Rodchenko’s famous Workers’ Club 1925, made for the International Exhibition of Modern Decorative and Industrial Arts in Paris to demonstrate the Soviet Union’s social equality and progressive modernity.",,546,640,95
72,Roni Horn aka Roni Horn,,Contemporary,USA,Mixed,Artist,Roni Horn,2009-02-25,2009-05-25,89.0,2009-10-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/roni-horn-aka-roni-horn,"Roni Horn is an American artist who has been making work since the 1970s. Horn worked through the legacy of minimalism yet developed her own concerns with memory and identity, and this is her first major museum show in the UK. Using a variety of materials including rubber, glass and gold, Horn’s work has an immense beauty and sensuality to it. Roni Horn You are the Weather 1994-95 photograph of a young woman's face The exhibition explores ideas that interest the artist about mutability and place. Her round, colourful cast-glass sculptures seem to have a liquid surface to them, and many of her photographs analyse the nature of water. Though based in New York, Horn is engaged with the landscape of Iceland, as a place which is constantly in a process of formation. In You are the Weather 1994–5, a set of 100 close-up photographs show a beautiful woman’s wet face with changing expressions, emerging from hot pools around Iceland. She also photographs the landscape and animals, the geysers and lava fields. Horn is interested in the idea of pairing and doubling. Many of her intricately constructed drawings feature paired clusters of cut-up lines. She often uses two identical photographs in a single work, breaking up the images to give the viewer a sense of déjà vu, such as in Dead Owl 1998, a pair of photographs of a stuffed snowy owl.",,559,648,90
73,Level 2 Gallery: Stutter ,Level 2,Contemporary,Mixed,Mixed,Theme,,2009-04-23,2009-08-16,115.0,2009-10-01 00:00:00,,Free,,,http://www.tate.org.uk/whats-on/tate-modern/exhibition/level-2-gallery-stutter,"The onomatopoeic word 'Stutter' refers to an act of speech interrupted by agitated, spasmodic, or involuntary repetitions. As the title for this exhibition, it suggests a metaphor for questions of disruption and discontinuity in processes of thought, systems of communications or conceptions of knowledge. The exhibition encompasses a wide range of artistic practices that incorporate repetition and interruption in order to convey meaning, whether through language, gesture, sound or images. In their highly methodical processes of work, Sven Augustijnen, Anna Barham, Dominique Petitgard, Michael Riedel and Will Stuart create a space for error, irrationality and transformation. Combining actions and strategies such as editing, quoting, translating, conversing, duplicating or indexing, these artists reveal a multiplicity of perspectives, directions and potentialities",,616,731,116
